Sample,Type
BL1-1_Mat,Mat
BL2-23_Mat,Mat
BL1-2_Mat_Top,Mat
BL1-2_Mat_Bottom,Mat
LCL4_Mat,Mat
LCL5_Mat,Mat
BL2-11_Streamers,Mat 
SL_Salt_2,Salt 
LCL4_Sediment,Sediment 
LCL5_Sediment,Sediment 
BL1-1 Mud_Sediment,Sediment 
BL2-23_Sediment,Sediment 
SLSU_Sediment,Sediment 
SLSL_Sediment,Sediment 
BL4_Sediment,Sediment 
SL_Sediment_1,Sediment 
SL_Sediment_3,Sediment 
BL_Sediment_3,Sediment 
BL4_Brine,Water 
BL2-23_Brine,Water 
BL1-2_Brine,Water 
BL2-4_Brine,Water 
LCL4_Brine,Water 
LCL5_Brine,Water 
SLSL_Spring,Water 
BL2-2_Brine,Water 
SLSU_Spring,Water 
BL2-1_Brine,Water 
BL4_Salt,Salt 
BL1-1_Salt,Salt 
BL2-23_Salt,Salt 
BL1-1_Salt_1,Salt 
BL1-1_Salt_2,Salt 
SLP_Sediment,Sediment 
